Achievement_ID,Achievement Name,Description,Category,Rarity,Points,Criteria,Premium_Required,Secret_Achievement,Related_Exercise_Categories,Badge_File_Name,Icon
ACH_001,First Steps,Log your very first workout,Milestones,Common,10,Complete 1 session,No,No,,badge_milestones_first_steps_common.png,Trophy
ACH_002,Streak Starter,Complete 3 workouts in a row,Consistency,Common,25,3-day streak,No,No,,badge_consistency_streak_starter_common.png,Flame
ACH_003,Week Warrior,Complete 7 workouts in a row,Milestones,Uncommon,50,7-day streak,No,No,,badge_milestones_week_warrior_uncommon.png,Calendar
ACH_004,Dedication,Complete 14 workouts in a row,Milestones,Uncommon,100,14-day streak,No,No,,badge_milestones_dedication_uncommon.png,Medal
ACH_005,Consistency King,Complete 30 workouts in a row,Milestones,Rare,200,30-day streak,No,No,,badge_milestones_consistency_king_rare.png,Crown
ACH_006,Marathon Runner,Complete 60 workouts in a row,Milestones,Epic,500,60-day streak,No,No,,badge_milestones_marathon_runner_epic.png,Star
ACH_007,Legend Status,Complete 100 workouts in a row,Milestones,Epic,1000,100-day streak,No,No,Leg Strength,badge_milestones_legend_status_epic.png,Crown
ACH_008,Speed Demon,Complete a 1-minute workout,Momentum,Common,15,Complete session <= 60 seconds,No,No,,badge_momentum_speed_demon_common.png,Zap
ACH_009,Quick Session,Complete a 5-minute workout,Momentum,Common,25,Complete session <= 300 seconds,No,No,,badge_momentum_quick_session_common.png,Clock
ACH_010,Standard Session,Complete a 10-minute workout,Momentum,Common,50,Complete session <= 600 seconds,No,No,,badge_momentum_standard_session_common.png,Timer
ACH_011,Extended Session,Complete a 15-minute workout,Momentum,Uncommon,75,Complete session <= 900 seconds,No,No,,badge_momentum_extended_session_uncommon.png,Clock
ACH_012,Long Haul,Complete a 20-minute workout,Momentum,Rare,100,Complete session <= 1200 seconds,No,No,,badge_momentum_long_haul_rare.png,Hourglass
ACH_013,Endurance Beast,Complete a 30-minute workout,Momentum,Epic,200,Complete session <= 1800 seconds,No,No,,badge_momentum_endurance_beast_epic.png,Mountain
ACH_014,Iron Will,Complete a 45-minute workout,Momentum,Epic,300,Complete session <= 2700 seconds,No,No,,badge_momentum_iron_will_epic.png,Shield
ACH_015,Ultimate Endurance,Complete a 60-minute workout,Momentum,Epic,500,Complete session <= 3600 seconds,No,No,,badge_momentum_ultimate_endurance_epic.png,Trophy
ACH_016,Regular Routine,Complete 10 total workouts,Milestones,Common,50,Complete 10 sessions,No,No,,badge_milestones_regular_routine_common.png,Target
ACH_017,Committed,Complete 25 total workouts,Milestones,Common,100,Complete 25 sessions,No,No,,badge_milestones_committed_common.png,Star
ACH_018,Dedicated,Complete 50 total workouts,Milestones,Uncommon,200,Complete 50 sessions,No,No,,badge_milestones_dedicated_uncommon.png,Medal
ACH_019,Hardcore,Complete 100 total workouts,Milestones,Uncommon,400,Complete 100 sessions,No,No,Core & Balance,badge_milestones_hardcore_uncommon.png,Fire
ACH_020,Elite,Complete 200 total workouts,Performance,Epic,800,Complete 200 sessions,No,No,,badge_performance_elite_epic.png,Crown
ACH_021,Champion,Complete 500 total workouts,Milestones,Epic,1500,Complete 500 sessions,No,No,,badge_milestones_champion_epic.png,Trophy
ACH_022,Weekend Warrior,Complete workouts on Saturday and Sunday,Milestones,Uncommon,75,Weekend sessions (Sat + Sun),No,No,,badge_milestones_weekend_warrior_uncommon.png,Calendar
ACH_023,Early Bird,Complete 5 morning workouts (before 9 AM),Momentum,Uncommon,100,5 sessions before 9 AM,No,No,,badge_momentum_early_bird_uncommon.png,Sun
ACH_024,Night Owl,Complete 5 evening workouts (after 9 PM),Momentum,Uncommon,100,5 sessions after 9 PM,No,No,,badge_momentum_night_owl_uncommon.png,Moon
ACH_025,Variety Seeker,Try 5 different exercise types,Milestones,Uncommon,150,5 different exercises,No,No,,badge_milestones_variety_seeker_uncommon.png,Shuffle
ACH_026,Perfectionist,Complete 10 workouts without skipping,Milestones,Rare,200,10 sessions without breaks,No,No,,badge_milestones_perfectionist_rare.png,CheckCircle
ACH_027,Comeback Kid,Return after 7-day break,Milestones,Common,50,Session after 7+ day gap,No,No,,badge_milestones_comeback_kid_common.png,RotateCcw
ACH_028,Social Butterfly,Share 5 workout achievements,Social,Common,100,Share 5 achievements,No,No,,badge_social_social_butterfly_common.png,Users
ACH_029,Milestone Master,Reach 5 personal bests in a month,Milestones,Epic,300,5 personal bests in month,No,No,,badge_milestones_milestone_master_epic.png,Target
ACH_030,Monthly Marathoner,Complete 30 sessions in one month,Milestones,Rare,400,30 sessions in calendar month,No,No,,badge_milestones_monthly_marathoner_rare.png,Calendar
ACH_031,Seasonal Warrior,Complete workouts in all 4 seasons,Milestones,Rare,250,Sessions in 4 seasons,No,No,,badge_milestones_seasonal_warrior_rare.png,Leaf
ACH_032,Fitness Streak,Maintain workout streak for 21 days,Consistency,Rare,300,21-day streak,No,No,,badge_consistency_fitness_streak_rare.png,Flame
ACH_033,Personal Best,Achieve new personal record,Milestones,Common,50,Beat previous best performance,No,No,,badge_milestones_personal_best_common.png,Trophy
ACH_034,Consistency Champion,Work out 5 days per week for 4 weeks,Milestones,Rare,400,5 days/week for 4 weeks,No,No,,badge_milestones_consistency_champion_rare.png,Calendar
ACH_035,Monthly Goals,Complete monthly fitness goal,Momentum,Common,150,Complete monthly target,No,No,,badge_momentum_monthly_goals_common.png,Target
ACH_036,Social Connector,Connect with 10 fitness friends,Social,Uncommon,100,10 friend connections,No,No,,badge_social_social_connector_uncommon.png,Users
ACH_037,Challenge Accepted,Complete first community challenge,Milestones,Common,75,Finish community challenge,No,No,,badge_milestones_challenge_accepted_common.png,Flag
ACH_038,Challenge Master,Complete 5 community challenges,Milestones,Rare,300,Complete 5 challenges,No,No,,badge_milestones_challenge_master_rare.png,Crown
ACH_039,Leaderboard Climber,Reach top 10 in any category,Social,Epic,500,Top 10 ranking,No,No,,badge_social_leaderboard_climber_epic.png,TrendingUp
ACH_040,Strength Builder,Increase workout intensity 5 times,Milestones,Uncommon,150,5 intensity increases,No,No,,badge_milestones_strength_builder_uncommon.png,TrendingUp
ACH_041,Endurance Master,Complete 45+ minute session,Milestones,Rare,250,Session >= 45 minutes,No,No,,badge_milestones_endurance_master_rare.png,Mountain
ACH_042,Technique Specialist,Master advanced exercise variation,Performance,Rare,200,Master advanced exercise,No,No,,badge_performance_technique_specialist_rare.png,Award
ACH_043,Goal Crusher,Exceed weekly goal by 150%,Momentum,Uncommon,175,Exceed goal by 150%,No,No,,badge_momentum_goal_crusher_uncommon.png,Target
ACH_044,Habit Former,Work out same time 14 days straight,Milestones,Rare,300,Same time 14 days,No,No,,badge_milestones_habit_former_rare.png,Clock
ACH_045,Recovery Master,Complete rest day activities 7 times,Milestones,Common,100,7 active rest days,No,No,,badge_milestones_recovery_master_common.png,Heart
ACH_046,Time Manager,Complete workout in exactly planned time,Milestones,Rare,150,Hit exact planned duration,No,No,,badge_milestones_time_manager_rare.png,Clock
ACH_047,Innovation Seeker,Try 3 new exercises in one week,Milestones,Uncommon,125,3 new exercises weekly,No,No,,badge_milestones_innovation_seeker_uncommon.png,Lightbulb
ACH_048,Dedication Medal,Work out 6 days per week for 2 weeks,Milestones,Rare,250,6 days/week for 2 weeks,No,No,,badge_milestones_dedication_medal_rare.png,Medal
ACH_049,Progress Tracker,Log progress 30 days in a row,Milestones,Uncommon,150,30 days progress logging,No,No,,badge_milestones_progress_tracker_uncommon.png,TrendingUp
ACH_050,Spring Fitness Champion,Complete spring fitness program,Milestones,Epic,100,Spring program completion,No,No,,badge_milestones_spring_fitness_champion_epic.png,Flower
ACH_051,Summer Endurance Master,Complete summer endurance challenge,Special,Epic,150,Summer challenge completion,No,No,,badge_special_summer_endurance_master_epic.png,Sun
ACH_052,Autumn Strength,Build strength during fall season,Special,Rare,125,Fall strength program,No,No,,badge_special_autumn_strength_rare.png,Leaf
ACH_053,Winter Warrior,Maintain fitness through winter,Milestones,Rare,150,Winter fitness maintenance,No,No,,badge_milestones_winter_warrior_rare.png,Snowflake
ACH_054,New Year Resolution,Complete January fitness goals,Special,Common,75,January goal completion,No,No,,badge_special_new_year_resolution_common.png,Calendar
ACH_055,Summer Solstice,Longest workout on summer solstice,Special,Rare,200,Longest session on solstice,No,No,,badge_special_summer_solstice_rare.png,Sun
ACH_056,Holiday Hustle,Stay active during holiday season,Special,Rare,175,Holiday season consistency,No,No,,badge_special_holiday_hustle_rare.png,Gift
ACH_057,Weekend Warrior Seasonal,Weekend workouts all season long,Milestones,Epic,300,Weekend sessions full season,No,No,,badge_milestones_weekend_warrior_seasonal_epic.png,Calendar
